,PBMC-ctrl,PBMC-stim,Quake
1,0.018371377,0.017625473,0.008738245
2,0.08728065,0.12022385,0.052178856
3,0.019153837,0.021146106,0.034477916
4,0.011424057,0.011224102,0.021430926
5,0.010994829,0.0099963425,0.011922404
6,0.005308233,0.006758312,0.010398695
7,0.003807934,0.005643523,0.00927131
8,0.0037255792,0.0042505446,0.008211114
9,0.0028042723,0.003604006,0.006578382
10,0.0025691707,0.0029271627,0.005929825
11,0.0024840736,0.0027953514,0.0054225177
12,0.0022872628,0.0026675363,0.004986783
13,0.0021040747,0.0023755163,0.00368403
14,0.0018849598,0.002295111,0.003592929
15,0.001870397,0.002004916,0.003396889
16,0.0017251767,0.0018961513,0.003099279
17,0.0016495299,0.0017457257,0.0027862033
18,0.0016016759,0.0017175184,0.0025540635
19,0.001519193,0.001609343,0.0024496915
20,0.0014915687,0.0015682507,0.0022551827
21,0.0014433848,0.0015059516,0.0022310757
22,0.001418609,0.0015005398,0.0021257938
23,0.0014124655,0.0014486018,0.0020138333
24,0.0013854175,0.0014425354,0.0019963975
25,0.0013601983,0.0013839799,0.0018607215
26,0.001311725,0.0013548661,0.0018078021
27,0.001278442,0.0013346681,0.0017432777
28,0.0012592209,0.001310634,0.0016354044
29,0.0012455913,0.0012644089,0.0015948256
30,0.0012408851,0.0012528523,0.0015690577
31,0.0012319644,0.0012438729,0.001543345
32,0.0012124566,0.0012241767,0.0013766123
33,0.0011943115,0.0012059932,0.0013213514
34,0.0011895287,0.0011784844,0.0012921916
35,0.0011850179,0.0011687464,0.0012740378
36,0.0011646776,0.0011591065,0.0011916603
37,0.0011619381,0.0011442386,0.0011882347
38,0.0011551448,0.0011289713,0.0011392214
39,0.001152529,0.0011148265,0.0011224825
40,0.0011456987,0.0011022771,0.0011109515
41,0.0011320125,0.0010995597,0.0010746433
42,0.0011242704,0.0010843885,0.0010198066
43,0.0011211006,0.0010757219,0.001014151
44,0.0011136424,0.0010712048,0.0009796047
45,0.0011091601,0.001068817,0.00095149584
46,0.0011037404,0.0010610288,0.0009346001
47,0.0010971291,0.0010506992,0.0009277261
48,0.0010918664,0.0010425105,0.00091246516
49,0.0010869763,0.0010408912,0.00088867627
50,0.0010854941,0.0010333259,0.00087918167
51,0.0010779762,0.0010249647,0.0008704059
52,0.0010724146,0.0010196255,0.0008499179
53,0.0010712092,0.0010118282,0.0008307135
54,0.001063913,0.0010075273,0.00081643503
55,0.0010623896,0.0010040168,0.0008026095
56,0.0010546307,0.0009968141,0.00079110917
57,0.0010467088,0.0009943233,0.0007764645
58,0.0010385936,0.0009904384,0.00076636265
59,0.0010349886,0.000986007,0.00076037156
60,0.0010314481,0.0009763755,0.0007373402
61,0.0010266979,0.00097223476,0.000731872
62,0.0010239548,0.00097173837,0.00072241685
63,0.001015811,0.0009695981,0.0007155611
64,0.0010126736,0.00096451805,0.00070323516
65,0.0010043909,0.0009532656,0.0007004076
66,0.0010033557,0.00095038855,0.0006937649
67,0.0009948747,0.0009489822,0.0006880453
68,0.0009933886,0.0009445936,0.00067761657
69,0.0009897812,0.000941122,0.000674283
70,0.0009860025,0.0009385176,0.0006582495
71,0.0009847523,0.00093214883,0.00065167784
72,0.0009787428,0.00092818664,0.0006464271
73,0.0009742886,0.0009233572,0.00064279523
74,0.0009673451,0.00092083926,0.00064112205
75,0.0009641843,0.0009172432,0.0006368073
76,0.0009627108,0.00091482606,0.00062818086
77,0.0009583581,0.00091181963,0.00062254886
78,0.00095577526,0.0009048117,0.0006185267
79,0.00094787136,0.0009018322,0.0006166669
80,0.0009447172,0.00089959905,0.0006074639
81,0.00094393204,0.00089659373,0.0005997523
82,0.0009416936,0.00089136884,0.00059857295
83,0.0009349011,0.0008887413,0.00059257384
84,0.0009257746,0.00088515325,0.00058931304
85,0.00092318014,0.0008788208,0.0005861065
86,0.0009172862,0.0008768851,0.00057789666
87,0.0009157726,0.0008720123,0.00057624024
88,0.0009051616,0.00086231524,0.00057408155
89,0.00090299494,0.0008618033,0.0005680208
90,0.0008983404,0.00085507095,0.0005661211
91,0.0008952189,0.00085370906,0.00056396605
92,0.00088705285,0.00084706733,0.0005562558
93,0.00088080484,0.0008435653,0.00055506063
94,0.00088024035,0.0008385379,0.00055034127
95,0.0008779972,0.000835906,0.0005487242
96,0.00086999603,0.0008298041,0.00054541335
97,0.0008638671,0.000824945,0.00054380577
98,0.0008618265,0.00082113687,0.0005386332
99,0.00085299317,0.00081958127,0.00053601444
100,0.0008434714,0.0008173618,0.000532744
